2023;Salida;Cenit;Horas de sol;;Inicio del crepúsculo astronómico;Inicio del crepúsculo náutico;Inicio del crepúsculo civil;Final del crepúsculo civil;Final del crepúsculo náutico;Final del crepúsculo astronómico
22/01/2023;09:06;14:01;18:56;09:50:40;+1:44;07:31;08:04;08:36;19:25;19:58;20:30
23/01/2023;09:05;14:01;18:57;09:52:27;+1:47;07:31;08:03;08:36;19:27;19:59;20:31
24/01/2023;09:04;14:01;18:59;09:54:15;+1:48;07:30;08:02;08:35;19:28;20:00;20:32
25/01/2023;09:04;14:02;19:00;09:56:07;+1:52;07:30;08:02;08:35;19:29;20:01;20:33
26/01/2023;09:03;14:02;19:01;09:58:00;+1:53;07:29;08:01;08:34;19:30;20:03;20:34
27/01/2023;09:02;14:02;19:02;09:59:57;+1:57;07:29;08:01;08:33;19:31;20:04;20:36
28/01/2023;09:01;14:02;19:03;10:01:54;+1:57;07:28;08:00;08:33;19:32;20:05;20:37
29/01/2023;09:01;14:03;19:05;10:03:54;+2:00;07:28;07:59;08:32;19:33;20:06;20:38
30/01/2023;09:00;14:03;19:06;10:05:55;+2:01;07:27;07:59;08:31;19:34;20:07;20:39
31/01/2023;08:59;14:03;19:07;10:07:59;+2:04;07:26;07:58;08:30;19:36;20:08;20:40
01/02/2023;08:58;14:03;19:08;10:10:05;+2:06;07:26;07:57;08:30;19:37;20:09;20:41
02/02/2023;08:57;14:03;19:09;10:12:12;+2:07;07:25;07:56;08:29;19:38;20:10;20:42
03/02/2023;08:56;14:03;19:11;10:14:20;+2:08;07:24;07:56;08:28;19:39;20:11;20:43
04/02/2023;08:55;14:04;19:12;10:16:31;+2:11;07:23;07:55;08:27;19:40;20:12;20:44
05/02/2023;08:54;14:04;19:13;10:18:43;+2:12;07:22;07:54;08:26;19:41;20:13;20:45
06/02/2023;08:53;14:04;19:14;10:20:56;+2:13;07:21;07:53;08:25;19:42;20:14;20:46
07/02/2023;08:52;14:04;19:15;10:23:12;+2:16;07:21;07:52;08:24;19:44;20:16;20:47
08/02/2023;08:51;14:04;19:17;10:25:28;+2:16;07:20;07:51;08:23;19:45;20:17;20:48
09/02/2023;08:50;14:04;19:18;10:27:45;+2:17;07:19;07:50;08:22;19:46;20:18;20:49
10/02/2023;08:49;14:04;19:19;10:30:04;+2:19;07:18;07:49;08:21;19:47;20:19;20:50
11/02/2023;08:48;14:04;19:20;10:32:25;+2:21;07:17;07:48;08:20;19:48;20:20;20:51
12/02/2023;08:47;14:04;19:21;10:34:46;+2:21;07:16;07:47;08:19;19:49;20:21;20:52
13/02/2023;08:45;14:04;19:23;10:37:08;+2:22;07:15;07:46;08:18;19:50;20:22;20:53
14/02/2023;08:44;14:04;19:24;10:39:32;+2:24;07:13;07:45;08:16;19:51;20:23;20:54
15/02/2023;08:43;14:04;19:25;10:41:56;+2:24;07:12;07:44;08:15;19:53;20:24;20:55
16/02/2023;08:42;14:04;19:26;10:44:21;+2:25;07:11;07:42;08:14;19:54;20:25;20:57
17/02/2023;08:40;14:04;19:27;10:46:47;+2:26;07:10;07:41;08:13;19:55;20:26;20:58
18/02/2023;08:39;14:04;19:28;10:49:15;+2:28;07:09;07:40;08:12;19:56;20:27;20:59
19/02/2023;08:38;14:04;19:30;10:51:42;+2:27;07:08;07:39;08:10;19:57;20:28;21:00
20/02/2023;08:37;14:04;19:31;10:54:11;+2:29;07:06;07:38;08:09;19:58;20:30;21:01
21/02/2023;08:35;14:03;19:32;10:56:40;+2:29;07:05;07:36;08:08;19:59;20:31;21:02
22/02/2023;08:34;14:03;19:33;10:59:11;+2:31;07:04;07:35;08:06;20:00;20:32;21:03
23/02/2023;08:32;14:03;19:34;11:01:41;+2:30;07:03;07:34;08:05;20:01;20:33;21:04
24/02/2023;08:31;14:03;19:35;11:04:13;+2:32;07:01;07:32;08:04;20:02;20:34;21:05
25/02/2023;08:30;14:03;19:36;11:06:45;+2:32;07:00;07:31;08:02;20:04;20:35;21:06
26/02/2023;08:28;14:03;19:37;11:09:18;+2:33;06:58;07:30;08:01;20:05;20:36;21:07
27/02/2023;08:27;14:03;19:39;11:11:51;+2:33;06:57;07:28;08:00;20:06;20:37;21:08
28/02/2023;08:25;14:02;19:40;11:14:24;+2:33;06:56;07:27;07:58;20:07;20:38;21:09
01/03/2023;08:24;14:02;19:41;11:16:59;+2:35;06:54;07:25;07:57;20:08;20:39;21:10
02/03/2023;08:22;14:02;19:42;11:19:33;+2:34;06:53;07:24;07:55;20:09;20:40;21:11
03/03/2023;08:21;14:02;19:43;11:22:08;+2:35;06:51;07:23;07:54;20:10;20:41;21:12
04/03/2023;08:19;14:02;19:44;11:24:42;+2:34;06:50;07:21;07:52;20:11;20:42;21:14
05/03/2023;08:18;14:01;19:45;11:27:18;+2:36;06:48;07:20;07:51;20:12;20:43;21:15
06/03/2023;08:16;14:01;19:46;11:29:53;+2:35;06:47;07:18;07:49;20:13;20:44;21:16
07/03/2023;08:15;14:01;19:47;11:32:30;+2:37;06:45;07:17;07:48;20:14;20:45;21:17
08/03/2023;08:13;14:01;19:48;11:35:06;+2:36;06:44;07:15;07:46;20:15;20:46;21:18
09/03/2023;08:12;14:00;19:49;11:37:43;+2:37;06:42;07:13;07:45;20:16;20:47;21:19
10/03/2023;08:10;14:00;19:50;11:40:20;+2:37;06:40;07:12;07:43;20:17;20:48;21:20
11/03/2023;08:08;14:00;19:51;11:42:57;+2:37;06:39;07:10;07:42;20:18;20:50;21:21
12/03/2023;08:07;14:00;19:52;11:45:34;+2:37;06:37;07:09;07:40;20:19;20:51;21:22
13/03/2023;08:05;13:59;19:53;11:48:11;+2:37;06:36;07:07;07:38;20:20;20:52;21:23
14/03/2023;08:04;13:59;19:54;11:50:48;+2:37;06:34;07:05;07:37;20:21;20:53;21:24
15/03/2023;08:02;13:59;19:55;11:53:26;+2:38;06:32;07:04;07:35;20:22;20:54;21:25
16/03/2023;08:00;13:58;19:57;11:56:04;+2:38;06:31;07:02;07:34;20:23;20:55;21:26
17/03/2023;07:59;13:58;19:58;11:58:41;+2:37;06:29;07:01;07:32;20:24;20:56;21:28
18/03/2023;07:57;13:58;19:59;12:01:18;+2:37;06:27;06:59;07:30;20:25;20:57;21:29
19/03/2023;07:56;13:58;20:00;12:03:56;+2:38;06:25;06:57;07:29;20:26;20:58;21:30
20/03/2023;07:54;13:57;20:01;12:06:34;+2:38;06:24;06:56;07:27;20:27;20:59;21:31
21/03/2023;07:52;13:57;20:02;12:09:11;+2:37;06:22;06:54;07:25;20:28;21:00;21:32
22/03/2023;07:51;13:57;20:03;12:11:49;+2:38;06:20;06:52;07:24;20:29;21:01;21:33
23/03/2023;07:49;13:56;20:04;12:14:26;+2:37;06:18;06:51;07:22;20:30;21:02;21:34
24/03/2023;07:47;13:56;20:05;12:17:04;+2:38;06:17;06:49;07:21;20:32;21:03;21:35
25/03/2023;07:46;13:56;20:06;12:19:41;+2:37;06:15;06:47;07:19;20:33;21:04;21:37
26/03/2023;07:44;13:55;20:07;12:22:18;+2:37;06:13;06:45;07:17;20:34;21:05;21:38
27/03/2023;07:43;13:55;20:08;12:24:55;+2:37;06:11;06:44;07:16;20:35;21:06;21:39
28/03/2023;07:41;13:55;20:09;12:27:32;+2:37;06:09;06:42;07:14;20:36;21:07;21:40
29/03/2023;07:39;13:54;20:10;12:30:09;+2:37;06:08;06:40;07:12;20:37;21:08;21:41
30/03/2023;07:38;13:54;20:10;12:32:45;+2:36;06:06;06:39;07:11;20:38;21:10;21:42
31/03/2023;07:36;13:54;20:11;12:35:22;+2:37;06:04;06:37;07:09;20:39;21:11;21:44
01/04/2023;07:35;13:53;20:12;12:37:57;+2:35;06:02;06:35;07:07;20:40;21:12;21:45
02/04/2023;07:33;13:53;20:13;12:40:34;+2:37;06:00;06:34;07:06;20:41;21:13;21:46
03/04/2023;07:31;13:53;20:14;12:43:08;+2:34;05:59;06:32;07:04;20:42;21:14;21:47
04/04/2023;07:30;13:53;20:15;12:45:43;+2:35;05:57;06:30;07:02;20:43;21:15;21:48
05/04/2023;07:28;13:52;20:16;12:48:18;+2:35;05:55;06:28;07:01;20:44;21:16;21:50
06/04/2023;07:27;13:52;20:17;12:50:52;+2:34;05:53;06:27;06:59;20:45;21:17;21:51
07/04/2023;07:25;13:52;20:18;12:53:26;+2:34;05:51;06:25;06:58;20:46;21:18;21:52
08/04/2023;07:23;13:51;20:19;12:56:00;+2:34;05:49;06:23;06:56;20:47;21:20;21:53
09/04/2023;07:22;13:51;20:20;12:58:33;+2:33;05:48;06:22;06:54;20:48;21:21;21:55
10/04/2023;07:20;13:51;20:21;13:01:05;+2:32;05:46;06:20;06:53;20:49;21:22;21:56
11/04/2023;07:19;13:51;20:22;13:03:38;+2:33;05:44;06:18;06:51;20:50;21:23;21:57
12/04/2023;07:17;13:50;20:23;13:06:09;+2:31;05:42;06:17;06:50;20:51;21:24;21:59
13/04/2023;07:16;13:50;20:24;13:08:40;+2:31;05:40;06:15;06:48;20:52;21:25;22:00
14/04/2023;07:14;13:50;20:25;13:11:11;+2:31;05:38;06:13;06:46;20:53;21:26;22:01
15/04/2023;07:13;13:50;20:26;13:13:40;+2:29;05:37;06:11;06:45;20:54;21:28;22:03
16/04/2023;07:11;13:49;20:27;13:16:09;+2:29;05:35;06:10;06:43;20:55;21:29;22:04
17/04/2023;07:10;13:49;20:28;13:18:39;+2:30;05:33;06:08;06:42;20:56;21:30;22:05
18/04/2023;07:08;13:49;20:29;13:21:06;+2:27;05:31;06:07;06:40;20:58;21:31;22:07
19/04/2023;07:07;13:49;20:30;13:23:34;+2:28;05:29;06:05;06:39;20:59;21:32;22:08
20/04/2023;07:05;13:48;20:31;13:25:59;+2:25;05:27;06:03;06:37;21:00;21:34;22:09
21/04/2023;07:04;13:48;20:32;13:28:25;+2:26;05:26;06:02;06:36;21:01;21:35;22:11
22/04/2023;07:03;13:48;20:33;13:30:50;+2:25;05:24;06:00;06:34;21:02;21:36;22:12
23/04/2023;07:01;13:48;20:34;13:33:13;+2:23;05:22;05:58;06:33;21:03;21:37;22:14
24/04/2023;07:00;13:48;20:35;13:35:36;+2:23;05:20;05:57;06:31;21:04;21:38;22:15
25/04/2023;06:59;13:48;20:37;13:37:58;+2:22;05:19;05:55;06:30;21:05;21:40;22:16
26/04/2023;06:57;13:47;20:38;13:40:19;+2:21;05:17;05:54;06:28;21:06;21:41;22:18
27/04/2023;06:56;13:47;20:39;13:42:39;+2:20;05:15;05:52;06:27;21:07;21:42;22:19
28/04/2023;06:55;13:47;20:40;13:44:58;+2:19;05:13;05:51;06:26;21:08;21:43;22:21
29/04/2023;06:53;13:47;20:41;13:47:15;+2:17;05:12;05:49;06:24;21:10;21:45;22:22
30/04/2023;06:52;13:47;20:42;13:49:32;+2:17;05:10;05:48;06:23;21:11;21:46;22:24
01/05/2023;06:51;13:47;20:43;13:51:47;+2:15;05:08;05:46;06:22;21:12;21:47;22:25
02/05/2023;06:50;13:47;20:44;13:54:02;+2:15;05:07;05:45;06:20;21:13;21:48;22:27
03/05/2023;06:48;13:46;20:45;13:56:14;+2:12;05:05;05:43;06:19;21:14;21:50;22:28
04/05/2023;06:47;13:46;20:46;13:58:26;+2:12;05:03;05:42;06:18;21:15;21:51;22:30
05/05/2023;06:46;13:46;20:47;14:00:35;+2:09;05:02;05:41;06:17;21:16;21:52;22:31
06/05/2023;06:45;13:46;20:48;14:02:44;+2:09;05:00;05:39;06:15;21:17;21:53;22:33
07/05/2023;06:44;13:46;20:49;14:04:51;+2:07;04:58;05:38;06:14;21:18;21:55;22:34
08/05/2023;06:43;13:46;20:50;14:06:56;+2:05;04:57;05:36;06:13;21:19;21:56;22:36
09/05/2023;06:42;13:46;20:51;14:09:00;+2:04;04:55;05:35;06:12;21:21;21:57;22:37
10/05/2023;06:41;13:46;20:52;14:11:03;+2:03;04:54;05:34;06:11;21:22;21:58;22:39
11/05/2023;06:40;13:46;20:53;14:13:03;+2:00;04:52;05:33;06:09;21:23;22:00;22:40
12/05/2023;06:39;13:46;20:54;14:15:01;+1:58;04:51;05:31;06:08;21:24;22:01;22:42
13/05/2023;06:38;13:46;20:55;14:16:58;+1:57;04:49;05:30;06:07;21:25;22:02;22:43
14/05/2023;06:37;13:46;20:55;14:18:53;+1:55;04:48;05:29;06:06;21:26;22:03;22:44
15/05/2023;06:36;13:46;20:56;14:20:46;+1:53;04:46;05:28;06:05;21:27;22:04;22:46
16/05/2023;06:35;13:46;20:57;14:22:37;+1:51;04:45;05:27;06:04;21:28;22:06;22:47
17/05/2023;06:34;13:46;20:58;14:24:26;+1:49;04:43;05:25;06:03;21:29;22:07;22:49
18/05/2023;06:33;13:46;20:59;14:26:13;+1:47;04:42;05:24;06:02;21:30;22:08;22:50
19/05/2023;06:32;13:46;21:00;14:27:57;+1:44;04:41;05:23;06:01;21:31;22:09;22:52
20/05/2023;06:31;13:46;21:01;14:29:39;+1:42;04:39;05:22;06:01;21:32;22:10;22:53
21/05/2023;06:31;13:46;21:02;14:31:19;+1:40;04:38;05:21;06:00;21:33;22:12;22:55
22/05/2023;06:30;13:46;21:03;14:32:57;+1:38;04:37;05:20;05:59;21:34;22:13;22:56
23/05/2023;06:29;13:47;21:04;14:34:32;+1:35;04:36;05:19;05:58;21:35;22:14;22:57
24/05/2023;06:29;13:47;21:05;14:36:04;+1:32;04:35;05:18;05:57;21:36;22:15;22:59
25/05/2023;06:28;13:47;21:05;14:37:34;+1:30;04:33;05:17;05:57;21:37;22:16;23:00
26/05/2023;06:27;13:47;21:06;14:39:02;+1:28;04:32;05:17;05:56;21:38;22:17;23:01
27/05/2023;06:27;13:47;21:07;14:40:27;+1:25;04:31;05:16;05:55;21:39;22:18;23:03
28/05/2023;06:26;13:47;21:08;14:41:49;+1:22;04:30;05:15;05:55;21:40;22:19;23:04
29/05/2023;06:26;13:47;21:09;14:43:08;+1:19;04:29;05:14;05:54;21:40;22:20;23:05
30/05/2023;06:25;13:47;21:09;14:44:25;+1:17;04:28;05:14;05:53;21:41;22:21;23:06
31/05/2023;06:25;13:47;21:10;14:45:39;+1:14;04:27;05:13;05:53;21:42;22:22;23:07
01/06/2023;06:24;13:48;21:11;14:46:50;+1:11;04:27;05:12;05:52;21:43;22:23;23:09
02/06/2023;06:24;13:48;21:12;14:47:58;+1:08;04:26;05:12;05:52;21:44;22:24;23:10
03/06/2023;06:23;13:48;21:12;14:49:02;+1:04;04:25;05:11;05:51;21:44;22:25;23:11
04/06/2023;06:23;13:48;21:13;14:50:04;+1:02;04:24;05:11;05:51;21:45;22:26;23:12
05/06/2023;06:23;13:48;21:14;14:51:02;+0:58;04:24;05:10;05:51;21:46;22:26;23:13
06/06/2023;06:22;13:48;21:14;14:51:57;+0:55;04:23;05:10;05:50;21:47;22:27;23:14
07/06/2023;06:22;13:49;21:15;14:52:49;+0:52;04:22;05:09;05:50;21:47;22:28;23:15
08/06/2023;06:22;13:49;21:16;14:53:37;+0:48;04:22;05:09;05:50;21:48;22:29;23:16
09/06/2023;06:22;13:49;21:16;14:54:23;+0:46;04:21;05:08;05:49;21:48;22:29;23:17
10/06/2023;06:22;13:49;21:17;14:55:05;+0:42;04:21;05:08;05:49;21:49;22:30;23:17
11/06/2023;06:21;13:49;21:17;14:55:44;+0:39;04:20;05:08;05:49;21:50;22:31;23:18
12/06/2023;06:21;13:49;21:18;14:56:19;+0:35;04:20;05:08;05:49;21:50;22:31;23:19
13/06/2023;06:21;13:50;21:18;14:56:51;+0:32;04:20;05:08;05:49;21:51;22:32;23:19
14/06/2023;06:21;13:50;21:19;14:57:20;+0:29;04:20;05:07;05:49;21:51;22:32;23:20
15/06/2023;06:21;13:50;21:19;14:57:44;+0:24;04:19;05:07;05:49;21:52;22:33;23:21
16/06/2023;06:21;13:50;21:19;14:58:06;+0:22;04:19;05:07;05:49;21:52;22:33;23:21
17/06/2023;06:21;13:50;21:20;14:58:24;+0:18;04:19;05:07;05:49;21:52;22:34;23:22
18/06/2023;06:21;13:51;21:20;14:58:39;+0:15;04:19;05:07;05:49;21:53;22:34;23:22
19/06/2023;06:21;13:51;21:20;14:58:49;+0:10;04:19;05:07;05:49;21:53;22:34;23:22
20/06/2023;06:22;13:51;21:21;14:58:57;+0:08;04:19;05:08;05:49;21:53;22:35;23:23
21/06/2023;06:22;13:51;21:21;14:59:00;+0:03;04:20;05:08;05:49;21:53;22:35;23:23
22/06/2023;06:22;13:51;21:21;14:59:01;+0:01;04:20;05:08;05:49;21:54;22:35;23:23
23/06/2023;06:22;13:52;21:21;14:58:57;−0:04;04:20;05:08;05:50;21:54;22:35;23:23
24/06/2023;06:22;13:52;21:21;14:58:51;−0:06;04:20;05:08;05:50;21:54;22:35;23:23
25/06/2023;06:23;13:52;21:21;14:58:39;−0:12;04:21;05:09;05:50;21:54;22:35;23:24
26/06/2023;06:23;13:52;21:22;14:58:26;−0:13;04:21;05:09;05:50;21:54;22:35;23:24
27/06/2023;06:23;13:52;21:22;14:58:08;−0:18;04:22;05:09;05:51;21:54;22:35;23:23
28/06/2023;06:24;13:53;21:22;14:57:47;−0:21;04:22;05:10;05:51;21:54;22:35;23:23
29/06/2023;06:24;13:53;21:22;14:57:23;−0:24;04:23;05:10;05:52;21:54;22:35;23:23
30/06/2023;06:25;13:53;21:22;14:56:55;−0:28;04:23;05:11;05:52;21:54;22:35;23:23
01/07/2023;06:25;13:53;21:21;14:56:23;−0:32;04:24;05:11;05:53;21:54;22:35;23:23
02/07/2023;06:26;13:53;21:21;14:55:49;−0:34;04:25;05:12;05:53;21:54;22:35;23:22
03/07/2023;06:26;13:54;21:21;14:55:10;−0:39;04:25;05:13;05:54;21:54;22:35;23:22
04/07/2023;06:27;13:54;21:21;14:54:29;−0:41;04:26;05:13;05:54;21:53;22:34;23:21
05/07/2023;06:27;13:54;21:21;14:53:44;−0:45;04:27;05:14;05:55;21:53;22:34;23:21
06/07/2023;06:28;13:54;21:21;14:52:55;−0:49;04:28;05:15;05:55;21:53;22:34;23:20
07/07/2023;06:28;13:54;21:20;14:52:04;−0:51;04:29;05:15;05:56;21:53;22:33;23:20
08/07/2023;06:29;13:54;21:20;14:51:09;−0:55;04:30;05:16;05:57;21:52;22:33;23:19
09/07/2023;06:29;13:55;21:20;14:50:11;−0:58;04:31;05:17;05:57;21:52;22:32;23:19
10/07/2023;06:30;13:55;21:19;14:49:10;−1:01;04:32;05:18;05:58;21:51;22:32;23:18
11/07/2023;06:31;13:55;21:19;14:48:06;−1:04;04:33;05:19;05:59;21:51;22:31;23:17
12/07/2023;06:31;13:55;21:18;14:47:00;−1:06;04:34;05:20;06:00;21:50;22:30;23:16
13/07/2023;06:32;13:55;21:18;14:45:50;−1:10;04:35;05:20;06:00;21:50;22:30;23:15
14/07/2023;06:33;13:55;21:18;14:44:37;−1:13;04:36;05:21;06:01;21:49;22:29;23:14
15/07/2023;06:34;13:55;21:17;14:43:22;−1:15;04:37;05:22;06:02;21:49;22:28;23:13
16/07/2023;06:34;13:55;21:16;14:42:04;−1:18;04:38;05:23;06:03;21:48;22:28;23:12
17/07/2023;06:35;13:56;21:16;14:40:42;−1:22;04:40;05:24;06:04;21:47;22:27;23:11
18/07/2023;06:36;13:56;21:15;14:39:18;−1:24;04:41;05:25;06:05;21:47;22:26;23:10
19/07/2023;06:37;13:56;21:15;14:37:51;−1:27;04:42;05:26;06:05;21:46;22:25;23:09
20/07/2023;06:38;13:56;21:14;14:36:23;−1:28;04:43;05:27;06:06;21:45;22:24;23:08
21/07/2023;06:38;13:56;21:13;14:34:51;−1:32;04:45;05:28;06:07;21:44;22:23;23:07
22/07/2023;06:39;13:56;21:13;14:33:17;−1:34;04:46;05:29;06:08;21:44;22:22;23:06
23/07/2023;06:40;13:56;21:12;14:31:41;−1:36;04:47;05:31;06:09;21:43;22:21;23:04
24/07/2023;06:41;13:56;21:11;14:30:02;−1:39;04:49;05:32;06:10;21:42;22:20;23:03
25/07/2023;06:42;13:56;21:10;14:28:21;−1:41;04:50;05:33;06:11;21:41;22:19;23:02
26/07/2023;06:43;13:56;21:09;14:26:38;−1:43;04:52;05:34;06:12;21:40;22:18;23:00
27/07/2023;06:44;13:56;21:08;14:24:53;−1:45;04:53;05:35;06:13;21:39;22:17;22:59
28/07/2023;06:44;13:56;21:08;14:23:05;−1:48;04:54;05:36;06:14;21:38;22:16;22:58
29/07/2023;06:45;13:56;21:07;14:21:16;−1:49;04:56;05:37;06:15;21:37;22:15;22:56
30/07/2023;06:46;13:56;21:06;14:19:24;−1:52;04:57;05:38;06:16;21:36;22:14;22:55
31/07/2023;06:47;13:56;21:05;14:17:31;−1:53;04:59;05:40;06:17;21:35;22:12;22:53
01/08/2023;06:48;13:56;21:04;14:15:36;−1:55;05:00;05:41;06:18;21:34;22:11;22:52
02/08/2023;06:49;13:56;21:03;14:13:39;−1:57;05:01;05:42;06:19;21:33;22:10;22:50
03/08/2023;06:50;13:56;21:02;14:11:41;−1:58;05:03;05:43;06:20;21:32;22:08;22:49
04/08/2023;06:51;13:56;21:01;14:09:40;−2:01;05:04;05:44;06:21;21:30;22:07;22:47
05/08/2023;06:52;13:56;20:59;14:07:38;−2:02;05:06;05:46;06:22;21:29;22:06;22:46
06/08/2023;06:53;13:56;20:58;14:05:34;−2:04;05:07;05:47;06:23;21:28;22:04;22:44
07/08/2023;06:54;13:55;20:57;14:03:29;−2:05;05:09;05:48;06:24;21:27;22:03;22:42
08/08/2023;06:55;13:55;20:56;14:01:22;−2:07;05:10;05:49;06:25;21:26;22:02;22:41
09/08/2023;06:56;13:55;20:55;13:59:15;−2:07;05:11;05:50;06:26;21:24;22:00;22:39
10/08/2023;06:57;13:55;20:54;13:57:05;−2:10;05:13;05:51;06:27;21:23;21:59;22:37
11/08/2023;06:58;13:55;20:52;13:54:54;−2:11;05:14;05:53;06:28;21:22;21:57;22:36
12/08/2023;06:58;13:55;20:51;13:52:42;−2:12;05:16;05:54;06:29;21:20;21:56;22:34
13/08/2023;06:59;13:55;20:50;13:50:29;−2:13;05:17;05:55;06:30;21:19;21:54;22:32
14/08/2023;07:00;13:55;20:49;13:48:15;−2:14;05:19;05:56;06:31;21:18;21:53;22:31
15/08/2023;07:01;13:54;20:47;13:46:00;−2:15;05:20;05:57;06:32;21:16;21:51;22:29
16/08/2023;07:02;13:54;20:46;13:43:42;−2:18;05:21;05:59;06:33;21:15;21:50;22:27
17/08/2023;07:03;13:54;20:45;13:41:25;−2:17;05:23;06:00;06:34;21:13;21:48;22:25
18/08/2023;07:04;13:54;20:43;13:39:06;−2:19;05:24;06:01;06:36;21:12;21:47;22:23
19/08/2023;07:05;13:54;20:42;13:36:46;−2:20;05:25;06:02;06:37;21:11;21:45;22:22
20/08/2023;07:06;13:53;20:41;13:34:26;−2:20;05:27;06:03;06:38;21:09;21:43;22:20
21/08/2023;07:07;13:53;20:39;13:32:04;−2:22;05:28;06:04;06:39;21:08;21:42;22:18
22/08/2023;07:08;13:53;20:38;13:29:42;−2:22;05:29;06:06;06:40;21:06;21:40;22:16
23/08/2023;07:09;13:53;20:36;13:27:19;−2:23;05:31;06:07;06:41;21:05;21:39;22:14
24/08/2023;07:10;13:52;20:35;13:24:55;−2:24;05:32;06:08;06:42;21:03;21:37;22:13
25/08/2023;07:11;13:52;20:33;13:22:30;−2:25;05:33;06:09;06:43;21:01;21:35;22:11
26/08/2023;07:12;13:52;20:32;13:20:05;−2:25;05:35;06:10;06:44;21:00;21:34;22:09
27/08/2023;07:13;13:52;20:30;13:17:39;−2:26;05:36;06:11;06:45;20:58;21:32;22:07
28/08/2023;07:14;13:51;20:29;13:15:11;−2:28;05:37;06:12;06:46;20:57;21:30;22:05
29/08/2023;07:15;13:51;20:27;13:12:44;−2:27;05:39;06:13;06:47;20:55;21:29;22:03
30/08/2023;07:16;13:51;20:26;13:10:16;−2:28;05:40;06:15;06:48;20:54;21:27;22:02
31/08/2023;07:16;13:50;20:24;13:07:47;−2:29;05:41;06:16;06:49;20:52;21:25;22:00
01/09/2023;07:17;13:50;20:23;13:05:19;−2:28;05:42;06:17;06:50;20:50;21:23;21:58
02/09/2023;07:18;13:50;20:21;13:02:49;−2:30;05:44;06:18;06:51;20:49;21:22;21:56
03/09/2023;07:19;13:49;20:20;13:00:18;−2:31;05:45;06:19;06:52;20:47;21:20;21:54
04/09/2023;07:20;13:49;20:18;12:57:48;−2:30;05:46;06:20;06:53;20:46;21:18;21:52
05/09/2023;07:21;13:49;20:16;12:55:17;−2:31;05:47;06:21;06:54;20:44;21:16;21:50
06/09/2023;07:22;13:48;20:15;12:52:46;−2:31;05:48;06:22;06:55;20:42;21:15;21:48
07/09/2023;07:23;13:48;20:13;12:50:14;−2:32;05:50;06:23;06:56;20:41;21:13;21:47
08/09/2023;07:24;13:48;20:12;12:47:42;−2:32;05:51;06:24;06:57;20:39;21:11;21:45
09/09/2023;07:25;13:47;20:10;12:45:10;−2:32;05:52;06:25;06:57;20:37;21:10;21:43
10/09/2023;07:26;13:47;20:08;12:42:36;−2:34;05:53;06:26;06:58;20:36;21:08;21:41
11/09/2023;07:27;13:47;20:07;12:40:03;−2:33;05:54;06:27;06:59;20:34;21:06;21:39
12/09/2023;07:28;13:46;20:05;12:37:29;−2:34;05:55;06:28;07:00;20:32;21:04;21:37
